web-scraper-order,titre_poste,url,ref_offre,intitule_poste,descri_mission,profil
1720689434-6,Chef d'équipe voirie verte H/F,Chef d'équipe voirie verte H/F,Réf. : 2024-9190,Chef d'équipe voirie verte H/F,"Au sein du centre technique composé de 5 unités techniques, le/la chef.fe d'équipe voirie verte anime et supervise les activités des équipes de voirie verte, et participe à la maintenance de la voirie sur le territoire du pôle, en collaboration avec les services de Nantes Métropole, les communes, les entreprises:
- Encadrement d’une équipe voirie verte : conducteurs d’engins et agents de maintenance- Encadrement des emplois d'avenir ou TIG affectés à l'équipe voirie verte
Participer à la surveillance des ouvrages d’art
- Participation à l’élaboration et suivi des programmes de travaux d’entretien de voirie verte
- Suivi et préparation de l'activité par utilisation du logiciel Octave, demande de DICT
- Travail en partenariat avec les autres équipes en régie du pôle : signalisation, logistique, nettoiement, voirie
- Surveillance du domaine public et veille sur le respect des consignes de sécurité
- Instruction des demandes diverses des riverains ou usagers par le logiciel Oasis

Astreintes de  viabilité hivernale et de sécurité routière","Vous avez la maîtrise des techniques de voirie et réseaux divers
Vous avez la maîtrise des techniques d'entretien des espaces verts, d'accompagnement de voirie et de la politique de fauchage raisonné
Vous avez la connaissance de la réglementation des techniques de signalisation routière permanente et temporairePermis B obligatoire et EC appréciéVous êtes en capacité d'organiser, conduire et motiver une équipeVous avez la gestion des achats dans le respect des budgets allouésVous avez l'aptitude à la communication vers les autres techniciens et vers la hiérarchie"
1720689434-141,Aide soignant H/F,Aide soignant H/F,Réf. : 2024-9737,Aide soignant H/F,"L’aide soignant contribue à la prise en charge globale de la personne en liaison avec les autres intervenants de l’équipe pluridisciplinaire de soins.Au sein de nos EHPAD, vos missions sont :Participation à la vie de l’établissement :Participe et collabore au projet de vie et au projet d’établissementParticipe à la vie sociale de l’établissement (animations, réunions d’équipes inter-professionnelles, repas…)Assurer la référence auprès de certains résidentsPeut assurer la référence sur des thématiquestransversales (nutrition, matériel, continence,…)Assurer l’encadrement des étudiants aide-soignantsSoins à la personne âgée:Apporte une aide aux personnes âgées en perte d’autonomie physique et/ou mentale dans les actes essentiels de la vie quotidienneAssure, sous la responsabilité de l’infirmière, les soins courants préventifs ou curatifs d’hygiène et de confort (toilette, prévention d’escarres, etc) ainsi que tous les soins prévus au décret n° 2002-194 du 11 février 2002Communique et transmet les informations nécessaires à la continuité des soins en utilisant les outils appropriés (plan de soins,…)Assure, sous la responsabilité et en collaboration avec l’infirmière, la distribution et la prise des médicaments (cf décret du 29 juillet 2004)Participe à l’évaluation de l’autonomie de la personne âgée (grille AGGIR, plans de soins, évaluations douleur,…)Accompagnement de la personne âgée :Ecoute, stimule et veille au bien-être de la personne âgée, en lien avec son entourageEntretient l’environnement proche de la personne âgée en perte d’autonomie (hygiène de l’environnement immédiat, tel que l’adaptable, le montauban, le lit, les barrières, les WC,…)Participe à la gestion des repas (distribuer si nécessaire des plateaux dans les chambres, préparer les petits déjeuners, aider et contrôler la prise des repas)- travail de week-end par roulement
- dépassement d’horaires possible pour urgence (avec récupération)
- réorganisation possible selon les besoins du service
interlocuteur privilégié des résidents et des familles Découvrez ce métier en vidéo Rémunération et avantages sociaux :Prime du service public, Titres de restauration, Comité d’œuvre sociale, aides aux familles... selon les critères","titulaire du certificat d’aptitude aux fonctions d’aide soignant (CAFAS), du Diplôme professionnel d’aide soignant (DPAS), du certificat d’aptitude aux fonctions d’aide médico psychologique (CAFAMP)titulaire du grade d’auxiliaire de soins ou être inscrit(e) sur une liste d’aptitude du même grade
connaissances en gérontologieexpérience souhaitée des personnes âgéesSavoir-faire :compétences techniques (nursing, soins de prévention…)mode de communication adaptée aux personnes âgées (écoute…)Aptitudes transversales ou spécifiquescapacité à gérer les situations d’urgencecapacité à développer ses compétencessens affirmé des relations humainesrespect de la confidentialité des informations – savoir faire preuve de discrétionrespect des règles d’hygiène et de sécuritésens du service public et de l’intérêt généralcapacité à travailler en équipe et à planifier les tâches à réaliserLe poste vous intéresse, rejoignez-nous !"
1720689454-142,CONDUCTEUR DE BENNES -  SAISON ETE 2024 H/F,CONDUCTEUR DE BENNES -  SAISON ETE 2024 H/F,Réf. : 2024-9317,CONDUCTEUR DE BENNES -  SAISON ETE 2024 H/F,"Rattaché·e à l'encadrant, vous intervenez en tant que chauffeur·se PL sur les missions suivantes :Conduire les véhicules de collecte dans le respecte des différentes règles en vigueur.Assurer la vidange sur les sites de traitement en respectant les consignes de sécurité.Assurer le contrôle et l'entretien courant du véhicule (contrôles divers, plein de carburant, nettoyage...).Identifier et signaler les dysfonctionnements liés aux véhicules et matériels.Assurer la remontée des informations au sein du service en utilisant notamment les documents de travail.Veiller à la sécurité des usagers tout au long de la missions.Périodes d'embauche souhaitées : 24/06 au 06/09/2024","Doté·e d'un sens du relationnel et du travail en équipe, vous savez également vous adapter aux contraintes du terrain en préservant la sécurité des personnels et du matériel.Vous disposez d'une bonne condition physique.
Votre sens du service public, votre courtoisie et votre respect auprès des usager·ères sont des véritables atouts.
Permis PL et VL
FIMO / FCOLe poste vous intéresse, rejoignez-nous !Merci de noter vos dates de disponibilité sur votre lettre de motivation"
1720689455-7,Gestionnaire Qualité de données / Facturation H/F,Gestionnaire Qualité de données / Facturation H/F,Réf. : 2024-9429,Gestionnaire Qualité de données / Facturation H/F,"Sous l’autorité du responsable de secteur, vous veillez à la qualité des données clientèle afin d’optimiser la facturation de l’ensemble des recettes de la régie de l’eau, en utilisant un logiciel spécifique facturation de l’eau en lien avec le Trésor Public. Vos activités : Vous gérez la qualité de données et leur traitement administratif :en assurant la mise à jour des données administratives pour réduire les impayésen réalisant des enquêtes administratives en matière de qualité de données clients (traitement des NPAI, mise à jour des adresses, changements d’abonnés,...)en préparant les éléments des dossiers litigieux et rédiger des courrielsen assurant l’interface avec le Trésor Public en participant au bon déroulement du process à chaque étapeVous assurez un accueil téléphonique et physique :en identifiant et en qualifiant les besoins et les demandes des usagersen contactant les clients pour des actions sur les impayés, et de mise à jour de la base de donnéesVous participez à la facturation mensuelle :en participant à la production des facturations mensuelles (acomptes, décomptes, travaux,...), ainsi qu’à la prise en charge des annulations et rectifications de facturesen assurant le traitement des dégrèvements et rejets de prélèvements bancaires=> Vous participez à produire les états de reporting . Vous exécutez les requêtes et vérifiez leurs cohérences, vous mettez à jour les états de reporting, puis vous analysez et contrôlez les résultats.=> Vous respectez et appliquer les consignes de sécurité.=> Vous pouvez être amené·e à assurer la polyvalence des activités de la direction en cas de nécessité.","Ayant déjà utilisé des logiciels de gestion clientèle et de facturation, vous avez des notions de la réglementation et du système de facturation en lien avec la recette des finances. Vous maîtrisez le pack office (Word, Excel,...).
Vous connaissez le fonctionnement d’une collectivité et de ses services, ainsi que la démarche Qualité Sécurité Environnement, et avez des notions des règles de comptabilité publique.Reconnu·e pour votre capacité à analyser et synthétiser, vous faite preuve de méthode et de rigueur.
Vous respectez les délais impératifs et savez gérer les priorités. Vous avez la capacité de travailler en équipe et en transversalité. Vous faites preuve d’autonomie, d’initiative et de diplomatie."
1720689474-8,Technicien Qualité Sécurité Environnement en charge de la prévention sécurité H/F,Technicien Qualité Sécurité Environnement en charge de la prévention sécurité H/F,Réf. : 2024-9544,Technicien Qualité Sécurité Environnement en charge de la prévention sécurité H/F,"Au sein du service QSE composé de cinq personnes et sous l’autorité de la responsable Qualité-Sécurité-Environnement, vous assistez, conseillez les services dans le domaine QSE.Vous proposez et mettez en œuvre les actions de communication interne adéquates.Vos activités principales :évaluation des risques Santé, sécurité au travail et environnementaux pour mise à jour du document unique et suivi des actionsévaluation des exigences réglementaires et normatives à partir d’un outil de veille réglementaire incluant le suivi des actions de mise en conformitéaccompagner la mise en œuvre des mesures de prévention et des règles en matière d’hygiène, sécurité et environnement dont analyse des accidents, 1/4 heure sécurité, expérimentation de matériels....réalisation d’audit internes, de visites terrains et de tests de Situation Urgencedéveloppement d’actions d’animation, de formation et de communication interne (flash HSE, accueil sécurité, …)préparation de la revue de direction sur le volet sécurité DOPEA qui participe à la certificationdomaines d'expertise : les risques dans le domaine de l'hygiène et de la sécurité et notamment dans les domaines techniques et industriels.Votre rôle :assistance et conseil aux servicespilotage des projets transversauxpolyvalence au sein du service QSE sur des actions transversales qualité/sécurité/environnementréférent système management","Titulaire d’un diplôme BAC+2 dans le domaine de l’hygiène et la sécurité.Une expérience dans le domaine industriel serait un plus.Une expérience des systèmes de management associés aux normes ISO 9001, ISO 14001, ISO 45001, les risques dans les domaines de l'environnement, de l'hygiène et de la sécurité, les textes législatifs et réglementaires applicables serait appréciée."
1720689474-143,Responsable d'unité de programmation et de coordination de travaux publics H/F,Responsable d'unité de programmation et de coordination de travaux publics H/F,Réf. : 2024-10200,Responsable d'unité de programmation et de coordination de travaux publics H/F,"Le-la responsable encadre et anime l'unité ""Programmation/coordination », constituée de 2 gestionnaires patrimoine  afin d’assurer la programmation et la bonne réalisation des travaux impactant l’espace public sur le territoire du pôle Loire Chézine. Sur ce poste les activités de votre unité seront variées et en transversalité : Pilotage de l'activité de l'unité Vous managez l’équipe et planifiez l’activité afin de    garantir la surveillance de l’espace public.Vous assurez un appui aux collaborateurs (agents de maîtrise) dans la réalisation de leurs missions d’instruction, de rédaction d’arrêtés temporaires de circulation, et de permissions de voirie.Vous contrôlez les interventions des promoteurs sur l’espace public en lien avec le service urbanisme du pole.Coordination des travaux sur le territoireVous êtes l’interlocuteur des entreprises dont les projets impactent l’espace public, ainsi que des techniciens de Nantes Métropole en charge de travaux, qu’ils soient au sein du pôle Loire Chézine ou non. A ce titre vous êtes un interlocuteur privilégié des communes.Vous vous assurez de la bonne coordination de l’ensemble de ces travaux pour en limiter les impacts.Expertise techniqueVous êtes en appui au service Urbanisme et environnement pour le volet voirie des dossiers Autorisation du Droit des Sols et pour les certificats d’alignements Sujétions du poste : Astreinte sécurité routière (cadre opérationnel) Lieu d’exercice :Pôle de proximité Loire Chézine 6, rue Virginia Woolf à Saint-Herblain","Doté-e de solides connaissances en techniques de voirie et réseaux divers et de connaissances générales en urbanisme et du PLUm, vous serez capable de développer des argumentaires techniques pour convaincre vos interlocuteurs. Vous appréciez le travail en transversalité et en équipe et avez des compétences managériales avérées."
1720689494-9,Auxiliaire de puériculture H/F,Auxiliaire de puériculture H/F,Réf. : 2023-7674,Auxiliaire de puériculture H/F,"Au sein de la crèche, l’auxiliaire de puériculture travaille au sein d’une équipe pluridisciplinaire. Chaque unité est managée par un responsable éducateur de jeunes enfants.
Les auxiliaires de puériculture peuvent, en fonction des possibilités, participer à des formations pour approfondir leurs connaissances ou découvrir de nouvelles pratiques.Une psychologue intervient dans chaque crèche pour des séances d’analyse de la pratique auprès des professionnels. Activités principalesPrise en charge d’enfants de 0 à 3 ans :
• accueil personnalisé des enfants et relations avec les familles
• proposer des activités d’éveil et d’éducation en lien avec le projet éducatif et social
• répondre aux besoins fondamentaux des enfants en favorisant leur bien-être sur le plan physique, affectif, psychomoteur et relationnel dans un cadre sécurisé
• aider à l’acquisition progressive de l’autonomie de l'enfant
• observer l’enfant dans son évolution afin d’ajuster sa pratique professionnelle
• aménager des espaces de vie (repos, repas, jeux…) adaptés aux besoins individuels et collectifs des enfants
• participer à la mise en place du projet d’établissement Vos conditions de travail:Postes basés à Nantes et proches agglomérationsTravail en semaine du lundi au vendredi
Les postes sont à pourvoir sur une plage horaire de 7h30 à 18h30 avec des roulements
Jours de récupération et congés : 47 joursPossibilité d'une durée de collaboration jusqu'à 4 ans.Conditions d’accueil selon statut et au prorata du temps de présence :- Participation employeur au transport- Participation employeur à une mutuelle complémentaire santé- Tickets restaurant dématérialisés de 9,80 € pris en charge à 60 % par l’employeur- Un accès au COS","Vous êtes titulaire du diplôme d'auxiliaire de puériculture , vous possédez idéalement une première expérience dans ce domaine (poste ouvert aux débutants nouveaux diplômés).Vous connaissez le cadre réglementaire applicable à la petite enfance.Vous maîtrisez les techniques d’hygiène corporelle et de soin (toilette, change, habillement, alimentation, acquisition de la propreté…) et vous savez mettre en œuvre les activités adaptées à l’âge des enfants accueillis.Vous êtes reconnu pour votre sens de l'observation, d'analyse ainsi que votre discrétion et patience. Vous faites preuve d'implication et d'initiative.Vous êtes pédagogue et disposez de qualités relationnelles (écoute adaptabilité aux différents interlocuteurs).Vous êtes précis·e dans la transmission des informations aux parents, collègues et responsable.Vous souhaitez mettre vos compétences au service d'un projet porteur de sens?Alors, rejoignez-nous !"
1720689494-144,Gestionnaire finances comptabilité marchés H/F,Gestionnaire finances comptabilité marchés H/F,Réf. : 2024-10214,Gestionnaire finances comptabilité marchés H/F,"Dans le cadre des fonctions centralisées de l’établissement public, vous assurez la gestion des opérations de la chaîne comptable, en recettes et en dépenses.Vos missions s'articuleront autour des axes suivants :Assurer la gestion des opérations de chaîne comptableEngagements, bons de commandeVérification des imputations comptables et des prix liés aux marchés/devisLiquidation des facturesContrôle du service fait, mandatement, titre, classement archivageGérer les relations pré-contentieuse avec les fournisseursRelation téléphonique avec les fournisseursGestion des litiges simplesLieu de travail : CCAS 1 bis place Saint-Similien à Nantes","Connaissances :Connaissances en comptabilité publique ou expérience professionnelle comptableMaîtrise des outils bureautiques et logiciels métiers (writter, calc, Coriolis, BO)Connaissance du logiciel Coriolis serait un plusNotion en marchés publicsSavoir-faire :Savoir réaliser les opérations comptables de l’engagement à la liquidationCapacité à faire remonter l’information auprès du responsableAptitude à résoudre des problèmes de 1er niveauAptitudes transversales ou spécifiques :Capacité à travailler en équipe et en autonomieQualités relationnellesCapacité à prendre des initiativesRigueur et organisation dans son travail Le poste vous intéresse, rejoignez-nous !"
1720689514-10,Chargé de clientèle H/F,Chargé de clientèle H/F,Réf. : 2024-9733,Chargé de clientèle H/F,"Sous l'autorité du responsable de secteur accueil-clientèle, vous assurez, au sein du centre d'appel de la DOPEA :un accueil téléphonique (50 à 60 appels par jour) et physique des usager·ère·s, et traitez leurs demandes dans le respect des objectifs de qualité fixés.Vous réceptionnez et traitez les demandes (accueil physique et appels entrants).Vous apportez une réponse adaptée de 1er ou 2e niveau (immédiate ou différée), ou transférez vers un service expert au sein de la DOPEA.Vous êtes garant·e de la mise à jour informatique des dossiers clients.Vous êtes également chargé·e de la gestion des demandes de souscription/résiliation des contrats d'abonnement, de mensualisation et de prélèvement automatique, ainsi que des demandes de branchements et de pose de compteurs.Vous traitez les courriers, mails et e-démarches des usager·ère·s.Vous réceptionnez différentes demandes (courriers/mails), envoyez des
courriers/mails de réponses adaptés aux demandes, et archivez les dossiers clients.Vous rejoignez une équipe de chargé·e·s clientèle expérimenté·e·s, et tourné·e·s vers l'usager·ère.Badgeage en horaires variables avec permanences obligatoires de 7h30-18h selon le planning.","Titulaire d’une formation niveau BAC, vous justifiez d’une expérience probante en centre d'appel, dans l’accueil téléphonique ou physique.Vous savez gérer plusieurs tâches en même temps et savez prioriser.Rigoureux·se, réactif·ve, organisé·e et autonome, vous êtes à l'aise avec l'outil informatique.Votre sens de l'usager·ère, votre aptitude à gérer les conflits et votre capacité à travailler en équipe sont autant d'atouts pour réussir à ce poste."
1720689514-145,Chargé de mission - Logement H/F,Chargé de mission - Logement H/F,Réf. : 2024-10424,Chargé de mission - Logement H/F,"Rattaché·e à la Responsable du service logement et dans une équipe de 11 agents, vos missions seront principalement axées sur la Mission relogement ANRU et la Mission relogement publics spécifiques. À ce titre :Mission relogement ANRU :Vous participez à l'accompagnement des ménages :Réaliser les entretiens à domicile.Évaluer les situations sociales et les besoins en logement.Accompagner administrativement pour la constitution des dossiers.Transmettre et coordonner les demandes avec la maison de l’habitant.Rechercher des logement auprès des bailleurs sociaux.Effectuer une permanence sur site.Réaliser un suivi social, si nécessaire, avec les professionnels des plateformes départementales.Vous préparez et animez les instances :Préparer les comités techniques du relogement inter partenaires et CR.Gérer et MAJ des bases de données internes et partenaires.Préparer et animer des Comités Techniques du Relogement et des rencontres avec les associations de locataires.Effectuer un reporting réguliers vers les équipes de quartier, les chefs de projets, les partenaires institutionnels dans les instances dédiées aux projets concernés.Vous réalisé le questionnaire de suivi à 6 mois du relogement (clôture de l’accompagnement du ménage).Vous suivez et renouvelez des partenariats extérieurs et vous suivez le budget dédié à la mission.Mission relogement publics spécifiques:Réaliser des entretiens par téléphone ou à domicile.Évaluer les situations sociales et les besoins en logement.Accompagner administrativement pour la constitution des dossiers en lien avec le bailleur.Rechercher des logements auprès des bailleurs sociaux.","Compétences et/ou expériences attendues Permis B souhaité.Diplôme dans le domaine ou expérience significative à un même type de poste.Connaissance des politiques de l'habitat.Connaissance dans le domaine du logement social : attributions de logement et mesures d’accompagnement.Maîtrise des outils informatiques classiques et métiers (bases de données).Goût et appétences pour les relations humaines et sociales.Négociation avec partenaires extérieurs.Ce poste vous intéresse, envoyez-nous votre CV !"
1720689534-11,Infirmier H/F,Infirmier H/F,Réf. : 2024-9118,Infirmier H/F,"CDD 6 mois renouvelable  Rattaché·e à l’infirmier·ère coordinateur·rice, vous serez en charge de veiller à la prise en charge individualisée des résident·e·s en assurant un rôle de coordination d’équipe et vous contribuez à l’élaboration des plans d’actions dans le domaine des soins.
 
Intégré·e au sein d’une structure, vous faites le lien avec les différentes équipes en collaborant au projet de vie d’établissement et en participant à la réflexion et à la mise en œuvre des objectifs de l’EHPAD. Vos missions s'orientent autour des axes suivants :
- Interlocuteur·rice du médecin coordonnateur·rice, vous prenez en charge les résident·e·s en vous assurant de donner aux soins une dimension sociale, relationnelle et familiale.
 
- Sous la responsabilité de l’infirmier·ère cadre, vous encadrez l'équipe, vous répartissez auprès des auxiliaires de soins les tâches et vous évaluez la qualité des soins dispensés.- Vous concevez, gérez et utilisez le dossier de soins infirmiers (Netsoins).
 
- Vous identifiez les besoins en posant un diagnostic et formulez les objectifs de soins.- Vous aidez aux soins de nursing, à la prise de repas au besoin. Vous participez à l’élaboration et à la prise en compte des régimes /plats particuliers.- Vous assurez les relations avec les résident·e·s et leur famille ou entourage.Rémunération et avantages sociaux :Prime du service public, Titres de restauration, Comité d’œuvre sociale, aides aux familles... selon les critéres","Titulaire du diplôme d’état d’infirmier, vous possédez les connaissances techniques à l’exercice de ce métier, ainsi que des capacités de coordination d’équipe.D’un relationnel facile, vous faites preuve d’écoute et de discrétion.Vous disposez d’une expérience dans le secteur gérontologique.Vous bénéficiez d’une aisance à l’utilisation des outils informatiques.Ce poste vous intéresse, rejoignez-nous !"
1720689534-146,Chargé d'opérations eaux pluviales et ruissellement H/F,Chargé d'opérations eaux pluviales et ruissellement H/F,Réf. : 2024-10391,Chargé d'opérations eaux pluviales et ruissellement H/F,"Au sein du service Gestion Intégrée des Eaux Pluviales et des Milieux Aquatiques, vous devrez conduire les programmes de travaux d’amélioration hydraulique sur le système d’assainissement pluvial et de prévention des inondations par ruissellement et/ou débordement de cours d’eau.Sous l'autorité de la responsable de service, vous devrez assurer la mise en œuvre et le suivi des opérations nécessaires à la résolution des problèmes hydrauliques et d'inondations (eaux pluviales et ruissellement) :- Contribuer à la programmation technique et financière des opérations, en lien avec les autres agents du service
- Définir et suivre les études pré-opérationnelles préalables aux travaux (études hydrauliques ponctuelles et de bassin versant, études capacitaires, études de faisabilité, AVP, autorisations réglementaires)- Définir et suivre la passation des marchés d’études (études préalables, maîtrise d’œuvre externe, assistance à maîtrise d’ouvrage) et des marchés de travaux, en lien avec les services support (service des marchés publics)
- Assurer le pilotage et le suivi technique, administratif, juridique (procédure d’autorisation, DUP…), et financiers (programmation budgétaire, suivi financier des marchés, subventions) des opérations- Promouvoir et mettre en œuvre la gestion intégrée des eaux pluviales dans les projets d’aménagement du territoire
- Animer et participer aux réunions avec des élus, des riverains, ou autres parties prenantes (DDTM, bureaux d’études, entreprises…) pour exposer l’avancement des opérations
- Sensibiliser, informer et communiquer auprès des riverains, usagers et élus
- Travailler en transversalité avec les communes du territoire et les autres services de la métropoleAppliquer la démarche qualité, sécurité, environnement, et pratique de l'amélioration continue (politique QSE, approche processus, etc.) Utiliser les outils QSE mis à disposition (suivi réclamations, etc...)","Vous maitrisez le domaine de la gestion intégrée des eaux pluviales, de l'hydraulique du petit et du grand cycle de l'eauVous avez des connaissances sur les risques d'inondation par ruissellementVous avez des connaissances sur le fonctionnement des collectivités territoriales et sur les procédures de marchés publicsAfin de mener à bien les missions qui vous seront confiées, nous recherchons quelqu'un ayant déjà eu une expérience dans la gestion de projets et conduite d'opérations. Votre esprit d'initiative et vos qualités relationnelles vous permettront de mener à bien vos missions.Enfin, votre sens du travail en équipe et votre capacité d'analyse et de synthèse permettront une bonne intégration au sein du service. Poste à pourvoir dès que possible, pour une durée de 6 mois (possibilité de renouvellement).Lieu d'exercice des fonctions : 53, chaussée de la Madeleine, Nantes"
1720689554-12,chef d'équipe voirie H/F,chef d'équipe voirie H/F,Réf. : 2024-9828,chef d'équipe voirie H/F,"Au sein du centre technique du pôle, le chef d'équipe voirie anime et supervise les activités des équipes de régie de voirie, et participe à la maintenance de la voirie sur le territoire du pôle, en collaboration avec les services de Nantes Métropole, les communes, les entreprises et les riverains:Encadrer une équipe composée de dix agents de maintenance voirieParticiper à l’élaboration et au suivi des programmes de travaux de voirieSuivre et préparer l'activité de voirie par utilisation du logiciel Octave, demande de DICT,Travailler en partenariat avec les autres équipes en régie du pôle : signalisation, logistique, nettoiement, voirie verteAssurer la surveillance du domaine public et veille sur le respect des consignes de sécuritéInstruire les demandes diverses des riverains ou usagers par le logiciel Oasis","Vous avez les connaissances de la réglementation des techniques de signalisation routière permanente et temporaireVous avez les connaissances des techniques de voirie et réseaux diversVous avez les connaissances des procédures travaux (DICT-arrêtés…)Vous avez les connaissances des règles de sécurité pour les interventions sur le domaine public (EPI, sécurité des chantiers)Vous avez les connaissances des matériauxVous avez le permis B"
1720689554-147,Gestionnaire du patrimoine H/F,Gestionnaire du patrimoine H/F,Réf. : 2024-10441,Gestionnaire du patrimoine H/F,"Rattaché·e au responsable d’unité gestionnaire patrimoine A, vous assurez la gestion et le suivi des travaux d’entretien durable et d’amélioration des locaux avec pour objectif de garantir la pérennité du patrimoine, la mise en conformité réglementaire (notamment en terme de sécurité) et la maîtrise de la consommation énergétique. 
Vos activités :Réaliser ou faire réaliser des missions d’études et de travaux :- conduire des opérations petites et moyennes avec des maîtres d’œuvre interne ou externe en ayant la responsabilité du respect des programmes, des délais et des coûts des opérations- veiller au respect de la loi MOP- missionner des contrôleurs techniques, des coordinateurs SPS, des bureaux d’études 
Conduire des chantiers d’entretien durable et d’amélioration des bâtiments en tant que maître d’œuvre :- piloter, coordonner et contrôler les interventions des entreprises sur les chantiers- faire appliquer les règles d’hygiène et de sécurité- valider les plans d’exécution et contrôler la conformité des travaux- suivre administrativement et financièrement les chantiers 
Réaliser ou faire réaliser des travaux de maintenance et de sécurité du patrimoine en bonne articulation avec le pôle maintenance et ateliers et les directions :- réaliser des marchés à bons de commande pour les travaux de réaménagement et d’entretien- préparer et participer aux commissions de sécurité- garantir le suivi administratif et financier des opérations- veiller à la sécurité incendie des bâtiments- assurer le dépannage des couvertures et de l’étanchéité et réaliser des travaux de maintenance tout corps d’état de niveau 2 
Participer à la programmation des travaux d’entretien durable Etre garant·e de la bonne réalisation des travaux et contrôles liés aux obligations réglementaires :- élaborer les dossiers de sécurité relatifs aux travaux et instruire les demandes d’autorisation en lien et avec l’appui des maîtres d’œuvre 
Renseigner le logiciel de gestion immobilière et patrimoniale CARL de façon à assurer la traçabilité de toutes les interventions sur les bâtiments et intégrer à vos activités les attentes de la certification Qualité, Sécurité et Environnement","De formation idéalement Bac+2 dans le domaine du bâtiment, vous disposez d’une bonne connaissance du code de la construction, de la réglementation en matière de travaux, de sécurité incendie, d’accessibilité et des marchés publics. Vous savez développer un relationnel adapté aux différents usagers. 
Vous maîtrisez les techniques relatives à la gestion du patrimoine : suivi de travaux en lien avec la maîtrise d’œuvre (interne ou externe) et le pilotage d’entreprises. 
Vous êtes en capacité de conduire des opérations simples et vous maîtrisez l’outil informatique. 
Vous savez rendre compte et communiquer sur les activités relevant de votre domaine de compétence tout en faisant preuve d’autonomie. 
Vous êtes reconnu·e pour votre réactivité face à un problème urgent sur les bâtiments."
1720689574-13,Gestionnaire de données techniques H/F,Gestionnaire de données techniques H/F,Réf. : 2024-9330,Gestionnaire de données techniques H/F,"Vous assurez la saisie des données nécessaires à l'activité du service (déclarations réglementaires préalables aux travaux + GMAO).En lien avec la réglementation anti-endommagement : vous assurez les réponses DT-DICT aux entreprises externes et concessionnaires avec les logiciels existants (utilisation d'applications sur internet ; lecture, repérage et récupération de plans à partir du SIG dans le format adéquat).Vous effectuez les déclarations obligatoires (DICT) en consultant le Guichet Unique et en utilisant es applications sur internet pour les chantiers réalisés en Régie.Vous réalisez les déclarations (avis d'ouverture et fermeture, arrêtés de circulation…) auprès des gestionnaires de voirie.Vous participez à la collecte et à la gestion des données permettant d'établir le bilan d'activité du service, à l'aide de la GMAO et vous réalisez le suivi les réfections de tranchées tout en garantissant la cohérence de ces données.Vous réalisez les marquages au sol lors des contrôles de réfection.Vous êtes polyvalent.e sur les activités du secteur.Vous participez au déploiement du système de management de la DOPEA au sein de vos services en articulation avec le processus.Vous respectez et appliquez les consignes de sécurité.En l'absence du responsable,vous êtes l'interlocuteur.trice de l'entreprise titulaire du marché de réfection et prenez en compte les réclamations des usagers et pôles de proximité.","Vous disposez des connaissances en travaux de voirie et réseaux divers et en lecture de plans. Vous connaissez les principes de la réglementation anti-endommagement des réseaux et les règles de sécurité (EPI, chantier, signalisation).Vous maîtrisez les outils bureautique et les logiciels métiers, ainsi que les matériels (traceurs, scans) et formats d'impression.Vous savez lire des plans de réseaux et appliquer des règles de sécurité sur la voie publique et sur les chantiers.Vous êtes en capacité d'analyser et de vérifier la cohérence des données, et savez respecter des délais impératifs. A ce titre, vous faites preuve de rigueur, de méthode et d'organisation.Vous appréciez le travail en équipe mais vous savez également travailler en autonomie et prendre des initiatives.Vous savez dialoguer et communiquer et vous avez le sens du contact. Vous attachez de l'importance au respect des obligations de discrétion et de confidentialité."
1720689574-148,Assistant·e de gestion assurances H/F,Assistant·e de gestion assurances H/F,Réf. : 2024-10429,Assistant·e de gestion assurances H/F,"Sous la responsabilité de la cheffe du service des Assurances, vous êtes principalement en charge du suivi des contrats et de la gestion des sinistres des flottes automobiles de la Ville de Nantes et Nantes Métropole.
Vos activités
Vous êtes référent·e auprès des assureurs, des experts, du Parc Auto, des services et à ce titre, vous  : 
- réceptionnez des constats amiables, l’ouverture des dossiers « accidents » et l’analyse des dossiers,
- effectuez les déclarations auprès des assureurs, 
- assurez l’interface et les réponses aux sollicitations des services sur les contrats d’assurances de la flotte auto,
- vérifiez les listes de véhicules assurés permettant le contrôle du montant des primes à payer,
- analysez la sinistralité, 
- participez aux opérations de formation et d’information des conducteurs,
 archivez annuellement les dossiers sinistres, 
Vous avez en charge pour le service :
- la gestion des sinistres de la garantie Responsabilité civile en appui de l’assistante dédiée,
- la gestion des dossiers de sinistres causés par les rotofils et engins similaires ;
l’instruction des recours en dommages aux biens, en suppléance de l’assistant dédié, 
- la gestion régulière, en suppléance, du courrier de la direction","Vous possédez une bonne connaissance du fonctionnement et de l'environnement des collectivités territoriales. 
Vous connaissez les principes de base régissant les responsabilités civile et administrative.
Vous maîtrisez les différents logiciels courants de bureautique et l'utilisation des technologies de communication et d'information (internet, messagerie électronique…).
Votre expérience sur des missions fonctionnelles vous a permis d’acquérir une bonne capacité d’analyse et une grande rigueur dans la gestion de dossiers.
Enfin, vous détenez également de très bonnes capacités rédactionnelles, de réelles qualités d’organisation et êtes reconnu·e pour vos qualités d'analyse et de synthèse, d’écoute et de pédagogie.
Vous savez travailler dans la discrétion et la confidentialité."
